,speaker,language,word,t1,t2,cog,sd,skew,kurtosis,db_d,db_v,burst_time,db_ratio,db_diff
671,S03,English,DEACTIVATE,498.167,498.1969,5191.1302539755825,6407.097718090905,1.4219504508532117,0.6566390305395733,19.42805382604521,22.587919500039284,498.1744501133787,0.8601081576376002,-3.159865673994073
683,S03,English,DUPLEX,503.6581,503.688,4604.522492674772,5519.846057927374,1.512533219404683,1.154224640514001,22.96036675924233,37.69173710999608,503.6705498866213,0.60916180891947,-14.731370350753753
693,S03,English,DEFOLIATE,520.2927,520.3315625493362,4889.222285271552,5572.592393227769,1.2891402839029569,0.625318929836955,23.532578977289084,14.496695820692418,520.3146315192745,1.6233063912190908,9.035883156596666
704,S03,English,DOCUMENT,526.8363,526.8731233030628,5293.808977828886,6411.120646818202,1.239913716249864,0.12890698995567362,20.51647833146461,37.72671981212006,526.8472052154195,0.5438182389997633,-17.210241480655448
716,S03,English,DOWNLOAD,541.7092,541.7636772666076,6818.393381361473,6702.793257522388,0.6456011269326655,-0.9479168597529997,19.94172366580315,30.439104056518946,541.7364399092971,0.6551350403998621,-10.497380390715797
725,S03,English,DEFINE,543.5677,543.5977,9527.178503391147,8665.062251425281,0.20377563532413306,-1.7256656947696114,14.46903004496922,22.564736308796792,543.5726984126984,0.6412230946092871,-8.095706263827573
732,S03,English,DISCOVER,545.5428,545.5814277547059,9846.71293685709,7370.812863888848,0.272336024917177,-1.47530322102372,15.271525818230668,12.036616447871772,545.5746088435375,1.2687557075834937,3.2349093703588956
742,S03,English,DECRYPTION,557.9551,557.9931031540212,4385.025730737454,5356.530769365158,1.8662589379693721,2.577025906893966,21.876291098250206,22.379645527865208,557.9715929705216,0.977508382383078,-0.5033544296150012
754,S03,English,DOCUMENTARIST,582.8519,582.8918,6289.555054746781,7117.6612793312615,0.9196827022743763,-0.5920542599099372,19.320236573526092,30.073836085575365,582.8593480725624,0.6424267432511831,-10.753599512049274
771,S03,English,DECOUPLE,596.6989,596.7388,4932.695191831599,5497.709452096917,1.5056025948549125,1.404361343955503,21.58079842810359,11.706796400623176,596.7213548752835,1.8434418511758521,9.874002027480415
781,S03,English,DISPATCH,599.5362,599.5961,7089.553364432154,7275.649197117402,0.8636627230073566,-0.7949836393767473,16.10018815010821,17.97129441647522,599.5686451247167,0.8958836117752502,-1.8711062663670113
790,S03,English,DIGITAL,607.2242,607.2641,4568.425950356012,5031.927193626117,1.8672729026760884,3.1717861762626294,21.45171178663762,30.901781817392347,607.241649659864,0.6941901251326558,-9.450070030754727
800,S03,English,DECORATED,609.6581,609.7003199266375,3156.931371707991,5571.0130682535655,2.4528648998834877,4.671979813736724,20.46940722172089,14.586946251772158,609.6842176870749,1.4032688452001443,5.882460969948731
811,S03,English,DECISIVE,621.2754,621.3191011824885,5711.06098346453,5657.545395766173,1.239145482193581,0.6183308653254924,20.544855748224702,22.06786848919085,621.2922562358277,0.9309850545052804,-1.5230127409661485
1,S03,Spanish,DUAL,14.031368496875832,14.091232442454062,2821.206375273871,3438.936703541757,2.500913944267666,7.432172981891799,29.741913001110376,38.89155010597708,14.073792517006803,0.7647397164696571,-9.149637104866706
28,S03,Spanish,DOS,32.406767683290134,32.43669965607925,630.9737024975124,1738.2968737938836,10.68783675197458,115.03080253545954,30.23937773244696,33.17830278767311,32.42923469387755,0.9114202714335929,-2.93892505522615
41,S03,Spanish,DESINSTALAR,35.43277222097088,35.48265884228608,1993.9325290653264,3484.95981896299,3.4094456340420183,12.7619870695633,27.375520496289557,30.2887915071739,35.460221088435375,0.9038168620826508,-2.913271010884344
62,S03,Spanish,DESPEGABLE,50.322176958923635,50.37206358023883,3980.956548037227,5453.624628050224,1.7231024389682856,1.7175437741230084,24.25480979195328,36.303288777898956,50.349631519274375,0.668116047015535,-12.048478985945675
86,S03,Spanish,DESLIZAR,56.85499743092967,56.9148613765079,2976.9831244608567,4502.029853018643,2.681595282243827,6.683028357612844,23.259266753441786,37.17555430697533,56.87742063492063,0.625660254084701,-13.916287553533543
105,S03,Spanish,DESTACAR,66.5697213231335,66.60963062018567,1355.0715019002039,3019.458709969834,4.622007800335107,22.85749168890064,29.324526404125727,35.19240020397815,66.59717120181405,0.8332630407178332,-5.8678737998524255
116,S03,Spanish,DIRECCIÓN,69.23348627236801,69.28337289368321,4331.429224260107,5126.5444436571825,1.677067626744586,1.770610168869175,26.25716866314798,31.070389131679597,69.26592403628119,0.8450865726807385,-4.813220468531618
140,S03,Spanish,DESCARGAR,75.10737122919384,75.13730320198296,1987.2379274657408,4371.722305806959,3.1721596204249196,9.163451450164514,23.886896332565627,32.8308507218308,75.12984693877551,0.727574699021798,-8.943954389265173
181,S03,Spanish,DEBILITAR,84.09298251246828,84.14286913378346,9123.476390190242,6395.0552640153965,-0.1960582276030039,-1.4379501967435335,22.504480845060307,37.31349663139731,84.11542517006804,0.6031190554820315,-14.809015786337
222,S03,Spanish,DECLARAR,95.31137962974557,95.3712435753238,3713.0428313604257,5105.086879049092,1.7825678030913175,2.0318514696800767,26.33732972643585,23.957345140848926,95.33881519274377,1.0993425845641338,2.379984585586925
241,S03,Spanish,DECIBELIO,104.11947745554004,104.14940942832915,1318.0835633783333,2327.23966221042,3.6517613197282115,20.08627435692539,33.12375333891069,27.594068019704316,104.12693310657596,1.2003939874054723,5.529685319206372
253,S03,Spanish,DISCO,106.72165568377166,106.76156498082382,1888.550781178276,4029.26116433113,3.607536394085229,12.8119083751071,24.36132745800677,31.835045569308825,106.74912131519274,0.7652361421933307,-7.473718111302055
258,S03,Spanish,DURO,107.13072597855624,107.17063527560839,460.5887606100374,1097.6988981058719,16.108551370166385,273.9439342179692,34.948094538747895,35.31385595044318,107.16319160997732,0.9896425524245055,-0.3657614116952814
289,S03,Spanish,DOCUMENTO,118.20749026503736,118.23742223782648,667.527052163816,1376.3030601941207,10.970920921093263,128.2179748856758,35.948167840703704,15.77456510487844,118.23996031746033,2.2788690275579375,20.173602735825263
301,S03,Spanish,DISEÑO,124.49649729310495,124.55636123868318,5583.601843730294,5645.012300561682,1.3985707433197259,1.1266391694980777,20.719446114273946,27.17323497558266,124.52893990929705,0.7624946434567705,-6.453788861308713
320,S03,Spanish,DEFINIR,133.4430154717775,133.49290209309268,4174.3226027097635,5505.536472991662,1.4268638325469327,0.7369838317883532,26.247814885268006,36.85119919363003,133.47044784580498,0.7122648776598052,-10.603384308362024
372,S03,Spanish,DESCUBRIMIENTO,155.74078238741353,155.7806916844657,558.4528632891248,1540.8799392759227,11.970666267479354,145.97836786029245,32.358777544453346,29.582799830822758,155.77323696145123,1.093837558632238,2.7759777136305885
401,S03,Spanish,DIGITAL,161.45410196034712,161.48403393313623,1569.722814598622,3512.0596382704016,4.126938191530718,17.823835152725106,24.93919278441173,10.942746116372785,161.48155895691607,2.2790616285154552,13.996446668038946
411,S03,Spanish,DEPURAR,177.04579889416922,177.0956855154844,1447.4931026492454,3296.0350784985453,3.956289502712674,15.64847461190249,31.936862766489007,38.10749340852141,177.08323696145123,0.8380730378699599,-6.1706306420324
429,S03,Spanish,DENEGACIÓN,184.88545641686238,184.9453203624406,5596.571022650534,6591.576281881376,1.0033644379914812,-0.6609913806161973,23.073746737364136,35.767844031446444,184.91289682539684,0.6450974992252291,-12.694097294082308
468,S03,Spanish,DESCENTRALIZADA,196.19543728129221,196.25530122687044,3389.947437058591,4035.4217393386625,2.446495825102094,6.499242446729136,25.752798735465085,37.47613191040799,196.22787414965987,0.6871786767383251,-11.723333174942908
486,S03,Spanish,DÚPLEX,199.59338926598394,199.62332123877306,4039.7597780148067,7489.734984473939,1.6135904933729133,0.683460331778404,16.847336306709362,11.634139039395377,199.59085600907028,1.4480948052675942,5.213197267313985
505,S03,Spanish,DOBLE,205.86108723540917,205.8910192081983,11255.559035419947,9476.27298495842,-0.23194778056748241,-1.864439353442262,11.688913542515474,12.265598546509565,205.8785430839002,0.9529835415852413,-0.5766850039940916
544,S03,Spanish,DEMULTIPLEXOR,224.177841408191,224.2277280295062,2327.280533469828,4130.419611113945,3.0768471259540324,9.372731495764675,23.97931549752056,32.841373695036005,224.20527777777778,0.7301556786324395,-8.862058197515445
571,S03,Spanish,DISTRIBUIDA,236.16244699801294,236.2023562950651,9734.036937929759,7796.423020566676,0.35778426149498,-1.4726233944245897,14.52879667395556,21.325333180928105,236.17989229024943,0.6812928337714839,-6.796536506972545
585,S03,Spanish,DETECTAR,238.71448391928922,238.75439321634138,1984.0003312345552,4030.510396778674,3.2718704114828023,10.424017007623307,26.4778748900326,38.36520201093623,238.73693310657598,0.6901534073112641,-11.887327120903631
612,S03,Spanish,DESFRAGMENTAR,248.92165996805912,248.95159194084823,1398.4782834931423,3307.93534368717,4.320537950295451,18.93436067568355,27.274497383963748,29.9485053522794,248.93413265306123,0.9107131412114985,-2.674007968315653
705,S03,Spanish,DESMONTABLE,303.7541108837584,303.79402018081055,1572.1038108945272,3426.293999280183,4.123152281671375,17.603226075715984,26.610139491168518,36.474685077922324,303.77657029478456,0.729550904533383,-9.864545586753806
730,S03,Spanish,DECORO,311.5686397180568,311.60854901510896,521.8666620251325,724.5514000915402,25.426730024264135,678.7043270860332,39.25325874642222,40.93843021895662,311.6061054421769,0.9588364413700925,-1.6851714725343996
761,S03,Spanish,DESAYUNAR,327.416271038487,327.44620301127617,597.6043937882753,1067.638504105787,17.048710566861505,303.53849908516816,34.77476346862876,33.47705260826378,327.4387358276644,1.0387641909683722,1.2977108603649796
791,S03,Spanish,DESTELLAR,336.29689566521114,336.3467822865264,4042.130997676222,5252.066352446778,1.646901642425162,1.6282746145994667,23.54797564333845,32.57216523351114,336.31934807256226,0.7229478137091004,-9.024189590172693
811,S03,Spanish,DESACTIVAR,345.08104066549106,345.1209499625432,1673.5239270167663,3509.8023536526016,3.9502297246908977,16.34835460477731,25.74428175118904,24.413301302472586,345.1084863945579,1.0545186589976527,1.3309804487164527
844,S03,Spanish,DINÁMICO,362.5515511551856,362.5914604522378,2348.055240232269,4434.131417104052,2.7784523467999502,7.011742079424261,25.006309585708713,31.081717225365523,362.56900793650794,0.8045343635422202,-6.0754076396568095
874,S03,Spanish,DESCODIFICADOR,379.07979892396884,379.129685545284,1747.2025121566835,3977.559611763752,3.5768955609291484,12.343307007605715,24.519141005355895,31.562939998792345,379.1122505668934,0.7768332419696657,-7.04379899343645
927,S03,Spanish,DOCTOR,395.1923287405129,395.222260713302,7958.438783691734,7001.104638440381,0.5642014441343969,-1.0154838934199064,16.9400637177344,33.99732196324738,395.18979024943314,0.4982764153025748,-17.05725824551298
1002,S03,Spanish,DESBLOQUEAR,433.06126553538127,433.1111521566965,3529.103606902115,5392.36847653771,2.240034589339655,3.9105749617339685,21.55760650324809,30.640248299355605,433.09370181405893,0.7035715341674129,-9.082641796107517
1035,S03,Spanish,DESARROLLANDO,445.49557689055075,445.555440836129,2466.624273259209,4545.608661732328,2.8089815757594465,7.299822635327141,23.71895485938358,28.53280035635853,445.5280102040817,0.8312873101534815,-4.813845496974949
1062,S03,Spanish,DESATENDIDAS,449.49099985817367,449.52093183096275,2824.3251134074253,5263.941570473524,2.3691764139641633,4.655792600629228,21.221656949213177,29.831606587143632,449.50347505668935,0.7113816309966678,-8.609949637930455
1087,S03,Spanish,DISPOSITIVO,458.28751197767883,458.337398598994,3856.1429739196446,5911.417554171636,1.9429513675905448,2.5853410474293685,20.330959648906834,18.664855528240803,458.30996031746025,1.0892642387799432,1.6661041206660308
1140,S03,Spanish,DISCRETO,483.04125370769975,483.0811630047519,4896.822685787852,6402.130045129855,1.5067511089051489,0.9177637534715992,18.897582608595023,23.91443163106601,483.06371315192746,0.7902166733515902,-5.016849022470986
1185,S03,Spanish,DECISIVO,508.5929741709344,508.6528381165126,6520.2945468437765,6335.868900414359,1.0224188703146602,-0.3382808704070017,21.010300868779783,29.91227739267099,508.62040249433113,0.7023972328475283,-8.901976523891207
1213,S03,Spanish,DIAGNÓSTICO,517.7478118214497,517.7976984427648,3508.7213672575217,4573.194881916681,2.317206967524942,5.187399191476322,23.796420372073772,35.42167690728658,517.7802551020409,0.6718038910003896,-11.62525653521281
1252,S03,Spanish,DATOS,531.787861316587,531.8277706136392,3077.9481377857496,4781.077082593277,2.3975558824977794,5.1635543802150075,23.581712072226004,34.68913714597391,531.8203117913832,0.6798010562497645,-11.107425073747905
1283,S03,Spanish,DECISIÓN,539.6139460775249,539.643878050314,2493.3751427041766,5489.526612545463,2.6338656962029954,5.469893982140006,20.715608595464815,26.503156574413758,539.6364229024944,0.7816279746641099,-5.787547978948943
1294,S03,Spanish,DEMORA,547.6946684782873,547.7246004510764,992.6471810269237,2995.2018040650437,5.804104280456764,33.00459824486558,25.902337205385564,34.004149868908456,547.7071258503403,0.7617404730082445,-8.101812663522892
1346,S03,Spanish,DUPLICAR,562.5073859617856,562.5472952588378,2381.7863944493406,4724.2260474886725,3.0726823016501514,8.384509365064746,22.65301252516792,29.827077002726632,562.5348356009071,0.7594781252986038,-7.174064477558712
1357,S03,Spanish,DESPLAZAR,565.1017972139573,565.1317291867465,2100.3315160471866,4100.307106137927,3.261411171922061,10.518415661389213,24.078703033411273,34.49004833919493,565.1142687074831,0.6981348009897663,-10.411345305783655
1385,S03,Spanish,DEMONIO,573.5453441849126,573.5752761577018,1617.2549161666482,4197.385338922901,3.6871017355839175,12.490760791285739,23.4258809964322,24.90003076568893,573.562806122449,0.940797271170924,-1.47414976925673
